# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.on.before.changed.ms,1763978039072000000,1763978062755000000,0
workspaceModel.init.bridges.ms,1763978039072000000,1763978062755000000,0
workspaceModel.updates.ms,1763978039072000000,1763978062755000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1763978039072000000,1763978062755000000,0
workspaceModel.check.recursive.update.ms,1763978039072000000,1763978062755000000,0
workspaceModel.loading.from.cache.ms,1763978039072000000,1763978062755000000,218
workspaceModel.entityStorageSnapshotImpl.instances.count,1763978039072000000,1763978062755000000,3
workspaceModel.updates.precise.ms,1763978039072000000,1763978062755000000,0
workspaceModel.cachedValue.calculated.count,1763978039072000000,1763978062755000000,1
workspaceModel.cachedValue.total.get.count,1763978039072000000,1763978062755000000,4
workspaceModel.replace.project.model.ms,1763978039072000000,1763978062755000000,0
workspaceModel.pre.handlers.ms,1763978039072000000,1763978062755000000,0
workspaceModel.loading.total.ms,1763978039072000000,1763978062755000000,238
workspaceModel.on.changed.ms,1763978039072000000,1763978062755000000,0
workspaceModel.full.replace.project.model.ms,1763978039072000000,1763978062755000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1763978039072000000,1763978062755000000,0
workspaceModel.update.unloaded.entities.ms,1763978039072000000,1763978062755000000,0
workspaceModel.collect.changes.ms,1763978039072000000,1763978062755000000,0
workspaceModel.cachedValueWithParameters.clear.count,1763978039072000000,1763978062755000000,0
workspaceModel.cachedValue.clear.count,1763978039072000000,1763978062755000000,0
workspaceModel.cachedValue.from.cache.count,1763978039072000000,1763978062755000000,3
workspaceModel.updates.count,1763978039072000000,1763978062755000000,0
workspaceModel.to.snapshot.ms,1763978039072000000,1763978062755000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1763978039072000000,1763978062755000000,0
workspaceModel.initializing.ms,1763978039072000000,1763978062755000000,0
jps.global.get.libraries.ms,1763978039072000000,1763978062755000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1763978039072000000,1763978062755000000,10
jps.global.handle.before.change.events.ms,1763978039072000000,1763978062755000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1763978039072000000,1763978062755000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1763978039072000000,1763978062755000000,0
workspaceModel.mutableEntityStorage.instances.count,1763978039072000000,1763978062755000000,4
workspaceModel.moduleManagerBridge.load.module.ms,1763978039072000000,1763978062755000000,0
workspaceModel.global.updates.ms,1763978039072000000,1763978062755000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1763978039072000000,1763978062755000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1763978039072000000,1763978062755000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1763978039072000000,1763978062755000000,0
workspaceModel.do.save.caches.ms,1763978039072000000,1763978062755000000,0
jps.library.entities.serializer.save.entities.ms,1763978039072000000,1763978062755000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1763978039072000000,1763978062755000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1763978039072000000,1763978062755000000,0
